العيار,شراء,بيع,,"آخر تحديث: 4/26/2026, 7:43:23 AM",,,,,,,,,,,,,,,,,,,,,
عيار 24,8٬011,7٬966,,,,,,,,,,,,,,,,,,,,,,,
عيار 21,7٬010,6٬970,,,,,,,,,,,,,,,,,,,,,,,
عيار 18,6٬009,5٬974,,,,,,,,,,,,,,,,,,,,,,,
عيار 14,4٬673,4٬647,,,,,,,,,,,,,,,,,,,,,,,
جنيه ذهب,56٬520,55٬952,,,,,,,,,,,,,,,,,,,,,,,
أونصة,251٬115,248٬605,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
52٫53,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,52٫53